	TF	TF-IDF	BM25	Laplace	JM
202	0.005714286	0.005405405	0.004950495	0.004587156	0.007092199
214	0.527635788	0.452664187	0.514717555	0.509670319	0.416051848
216	0.415829059	0.388044216	0.489986955	0.47374891	0.401073802
221	0.46277759	0.388445331	0.471946488	0.43614966	0.328620692
227	0.15247078	0.15123445	0.187050178	0.117921677	0.128821049
230	0.28438677	0.131797665	0.296786684	0.181735819	0.08681768
234	0.629803774	0.558979485	0.589140302	0.553002888	0.39754515
243	0.256076311	0.171830019	0.267719369	0.135378599	0.159366648
246	0.19372647	0.189463469	0.111371842	0.099885216	0.073421734
250	0.272339964	0.143318406	0.354945078	0.123142393	0.078979815
avg	0.320076079	0.258118263	0.328861495	0.263522264	0.207779062
